med-ball-plank-weight-drag-through,Medball,"back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-lumberjack,Cables,"back_hamstrings (40.0%), front_shoulders (40.0%)"
plank-shoulder-tap,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-lumberjack-squat-high-to-low,Cables,"back_hamstrings (40.0%), front_quads (40.0%), front_shoulders (40.0%)"
med-ball-standing-lumberjack,Medball,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
band-trunk-rotation,Bands,front_abs (40.0%)
seated-med-ball-lumberjack,Medball,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-lumberjack,Bands,"back_hamstrings (40.0%), front_shoulders (40.0%)"
weighted-band-pallof-punch,Bands,"back_hamstrings (40.0%), front_shoulders (40.0%)"
half-kneeling-band-pallof-circle,Bands,"back_hamstrings (40.0%), front_shoulders (40.0%)"
half-kneeling-cable-lumberjack-high-to-low,Cables,"back_hamstrings (40.0%), front_shoulders (40.0%)"
seated-single-kettlebell-lumberjack,Kettlebell,"back_hamstrings (40.0%), front_shoulders (40.0%)"
single-kettlebell-trunk-rotation,Kettlebell,front_abs (40.0%)
single-kettlebell-plank-weight-drag-through,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
side-plank-leg-abduction,Bodyweight,"back_glutes (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
windshield-wiper,Bodyweight,
dumbbell-lumberjack-squat,Dumbbell,"back_hamstrings (40.0%), front_quads (40.0%), front_shoulders (40.0%)"
