Exercise,primary,secondary
dip-position-knee-tuck,front_hip_flexors,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-dip,back_hamstrings,"front_chest (40.0%), front_shoulders (40.0%)"
dip-position-leg-raise,front_hip_flexors,"back_hamstrings (40.0%), front_shoulders (40.0%)"
assisted-dip,back_hamstrings,"front_chest (40.0%), front_shoulders (40.0%)"
dip,back_hamstrings,"front_chest (40.0%), front_shoulders (40.0%)"
dip-position-shrug,back_hamstrings,"front_shoulders (40.0%), front_traps (40.0%)"
band-assisted-dip,back_hamstrings,"front_chest (40.0%), front_shoulders (40.0%)"
dip-position-alt-leg-raise,front_hip_flexors,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
