Exercise,primary,secondary
battle-ropes-dual,front_shoulders,front_traps (40.0%)
battle-ropes-snake,front_shoulders,front_obliques (40.0%)
battle-ropes-alt,front_shoulders,"front_abs (40.0%), front_obliques (40.0%), front_traps (40.0%)"
battle-ropes-shoulder-rotation,front_shoulders,front_biceps (40.0%)
