Exercise,primary,secondary
top-half-ez-bar-curl,front_biceps,
ez-bar-curl,front_biceps,
seated-ez-bar-curl,front_biceps,
ez-bar-preacher-curl,front_biceps,
ez-bar-half-curl,front_biceps,
ez-bar-skull-crusher,back_hamstrings,
