Exercise,primary,secondary
hex-bar-jump-squat,front_quads,"back_calves (40.0%), back_hamstrings (40.0%)"
barbell-hex-bar-squat,front_quads,back_hamstrings (40.0%)
barbell-hex-bar-deadlift,back_hamstrings,front_quads (40.0%)
