Exercise,Muscle Groups,Engagement Percentages,Equipment
kettlebell-superman,"['back_lower_back', 'back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['Kettlebell']
half-kneeling-band-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Bands']
landmine-thruster,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']","['Barbell', 'Landmine']"
bosu-dumbbell-crunch,['front_abs'],['100.0%'],"['Bosu', 'Dumbbell']"
top-half-ez-bar-curl,['front_biceps'],['100.0%'],['EZ Curl Bar']
step-jack,"['back_hip_abductors', 'back_hamstrings', 'front_hip_abductors', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
dumbbell-around-the-world,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
seated-dumbbell-reverse-fly,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']","['Bench', 'Dumbbell']"
barbell-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Barbell', 'Bench']"
med-ball-overhead-med-ball-slam,['front_abs'],['100.0%'],['Medball']
bosu-side-plank,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Bosu']
single-leg-machine-leg-extension,['front_quads'],['100.0%'],['Machine']
dumbbell-dip,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '40.0%', '40.0%']","['Dip Bar', 'Dumbbell']"
split-stance-cable-incline-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Cables']
bodyweight-cossack-squat,"['back_glutes', 'back_hip_abductors', 'back_hip_adductors', 'back_hamstrings', 'front_hip_abductors', 'front_hip_adductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%', '40.0%', '40.0%', '100.0%']",['Bodyweight']
single-kettlebell-side-bend,['front_obliques'],['100.0%'],['Kettlebell']
barbell-floor-overhead-row,['back_lats'],['100.0%'],['Barbell']
band-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Bands']
kettlebell-chest-supported-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Kettlebell']"
band-assisted-pull-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Bands', 'Pull-Up Bar']"
cable-decline-bench-press,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']","['Bench', 'Cables']"
single-leg-slider-hamstring-curl,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '40.0%', '100.0%']",['Bodyweight']
med-ball-wall-ball,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Medball']
kettlebell-lunge-and-press,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%']",['Kettlebell']
hand-roller-tibialis,['front_tibialis'],['100.0%'],['Roller']
wall-sit,"['back_glutes', 'front_quads']","['40.0%', '100.0%']",['Bodyweight']
bodyweight-good-morning,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
weighted-machine-walk,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '40.0%', '100.0%']",['Bodyweight']
band-front-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bands']
band-leg-abduction,"['back_hip_abductors', 'front_hip_abductors']","['100.0%', '100.0%']",['Bands']
dumbbell-lunge-to-donkey-kick,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
kettlebell-box-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Kettlebell']
battle-ropes-dual,"['back_hamstrings', 'front_abs', 'front_biceps', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%', '100.0%', '40.0%']",['Battle Ropes']
dumbbell-bent-over-swimmer,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
elevated-knee-tap,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['100.0%', '40.0%', '40.0%', '100.0%']",['Bodyweight']
single-arm-dumbbell-chest-fly,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Dumbbell']"
kettlebell-jump-squat,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '100.0%', '40.0%', '100.0%']",['Kettlebell']
dumbbell-sumo-goblet-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
barbell-overhead-lunge,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Barbell']
hip-abduction-machine,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors']","['100.0%', '100.0%', '100.0%']",['Machine']
arm-circle,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bodyweight']
star-plank-hold,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '100.0%']",['Bodyweight']
cobra-stretch,['front_abs'],['100.0%'],['Bodyweight']
weighted-plank,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
shoulder-stretch,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bodyweight']
bodyweight-calf-raise,['back_calves'],['100.0%'],['Bodyweight']
trx-inverted-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['trx']
band-half-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Bands']
forearm-stretch,"['back_forearms', 'front_forearms']","['100.0%', '100.0%']",['Bodyweight']
trx-archer-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '40.0%', '40.0%', '40.0%']",['trx']
standing-balance-lateral-reach,['front_quads'],['100.0%'],['Bodyweight']
seated-band-curl,['front_biceps'],['100.0%'],['Bands']
